buyer_county,year,prescription_rate,total_prescriptions,opioids_supplied_per_capita,high_school_graduate_includes_equivalency,some_college_or_associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,dosage_unit,potential_pills_per_prescription,population,blind_and_disability_perc,unemployment_rate_bls,gdp_2020_dollars,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races",male_perc,up_to_18,from_18_to_34,from_35_to_59_years,opioid_visit_count
Monmouth,2011,71,448024.19999999995,31.884322208487845,27.129453311636603,24.498840148184055,26.14479105356092,14.181813985158511,83750.77942511346,20119645,44.907496068292744,631020,0.9903014167538271,8.6,28896041,83.99844695889195,7.163322874076891,0.33469620614243606,5.065291115970968,4.754207473614148e-4,1.282843649963551,2.1549237742068397,0.3546638775316155,1.8002598966752243,48.719058033025895,36.433279252313945,16.326904714350988,31.861198738170344,140
Morris,2011,52.1,257882.496,22.032138931988623,25.30187167722671,19.445342655305513,28.43288908309664,20.189061248270335,96416.74674735247,10905380,42.28817453356741,494976,0.5470972329971555,7.1,46469787,81.59062257564003,3.275512348073442,0.06768004913369538,9.115189423325576,0.02404156969226791,3.988274178950091,1.938679855184898,0.5386119731057668,1.400067882079131,48.877925394362556,36.433279762297325,15.826943569913674,32.13220822587307,64
Ocean,2011,84.9,491884.2810000001,36.752722358289795,37.73526050218853,25.9623782834156,17.012871637977074,8.360825102439073,60098.42087745839,21293388,43.28942562813874,579369,1.0164506557996718,10.4,16859158,91.64366750723632,3.0244973410727876,0.1480921485271045,1.6935666216176566,0.00828487544207577,1.512334971322249,1.9695565347818056,0.30895681336074243,1.6605997214210633,47.85016112356719,37.36889268445236,16.099737785368905,26.00916548389425,180
Passaic,2011,51.9,260541.633,22.127709374570475,36.13060969369778,21.086657454416212,16.0829347656238,8.332695012209806,55298.274735249615,11108265,42.63527817836315,502007,2.296581521771609,11,21291950,68.22892907867819,12.23050674592187,0.35597113187664714,5.289966076170253,0.06474013310571367,9.338315999577697,4.491570834669636,0.9695083933092566,3.5220624413603794,48.642150408261244,38.49313205494356,20.12885896912825,29.026587787297704,56
Salem,2011,79.5,52392.090000000004,41.61633941306789,38.483738483738485,28.01198801198801,13.994893994893994,5.765345765345765,56928.234190620264,2742600,52.34759674599734,65902,2.257898091104974,11.6,5770008,79.33446632879124,15.27571242147431,0.36721192073078207,1.1577797335437467,0.02579587872902188,1.8846165518497164,1.9544171648811872,0.6266881126521198,1.3277290522290677,48.80276774604716,36.476087927095094,16.88683457205137,29.280142868398244,22
Somerset,2011,43.6,141653.348,18.197652765679777,24.05873005214978,20.64459813335124,27.867230690033352,21.63566776337877,101724.671709531,5912290,41.737735701100405,324893,0.5961962861619056,7.4,27166017,69.77928117872654,8.993114656209892,0.13727596470222503,14.650669605069975,0,4.183838986989563,2.25581960830181,0.5232491928111717,1.7325704154906385,48.877630481420034,38.15840606652593,15.599563075695034,32.16960225184065,32
Sussex,2011,62.2,92377.574,29.55533709945663,30.936710835502772,29.65844716802683,23.06724778424547,10.871578865260672,88506.58729198184,4389470,47.516619130959214,148517,0.9850724159523826,9.2,4192151,93.95894072732416,2.1263559053845684,0.00807988311102432,2.032090602422618,0,0.6053179097342392,1.2692149720234047,0.35349488610731433,0.9157200859160904,50.05487587279571,35.71133736929004,15.319436800587049,34.00064208402128,40
Union,2011,51.2,276220.928,22.04165384601126,30.25538265940687,24.429673032807276,18.95525275697189,12.106354163787625,70094.59062027231,11891340,43.05010516799074,539494,1.4533989256599702,9.5,32435134,56.66476364890064,21.40209158952648,0.1547746592177114,4.593192880736393,0.11306891272192092,15.38200610201411,1.6901022068827456,0.4878645545640915,1.2022376523186542,48.63742692226419,38.02914422197378,18.584205711962596,30.11072009350544,74
Warren,2011,75,81254.25,31.63274536408865,35.195159252609884,22.64645255668595,20.081122415054192,11.716204534875988,70301.50257186081,3427060,42.176993818784865,108339,1.0947119689123954,9.1,4382966,89.12210745899445,3.981022531129141,0.12276280932997352,2.527252420642613,0,2.7247805499404647,1.5220742299633558,0.5833541014777689,0.938720128485587,48.57807437764794,36.02320335159523,15.252980986142441,32.84241057041572,22
Atlantic,2012,85.7,236036.654,39.33142595725832,32.071895003651676,25.14982600850625,16.35358938007475,8.776367229453967,52920.11822222222,10832740,45.89431266891285,275422,2.1018655009403755,12.7,13670643,66.48778964643347,16.18135079986348,0.18008728424018414,8.009164119060932,0.02251091053002301,5.968659003274975,3.1504382365969317,1.2725926033504948,1.8778456332464364,48.73067510946838,36.241133859852106,17.818426480205243,28.955178831933196,71
Bergen,2012,48.2,442904.01600000006,20.806616257911738,24.53522179892414,20.785017101860348,29.40345868518055,17.50708329084904,85523.40177777778,19118950,43.16725364711978,918888,0.7307745884155632,7.7,64632393,71.33285014060473,5.493378953691853,0.22864592855712557,15.015975831657396,0.01436518922871993,4.89678829193547,3.0179956643247055,0.7685376237365162,2.249458040588189,48.29315433436937,34.94401166129583,17.166640909550548,31.595204978945944,122
Burlington,2012,72.4,326767.264,35.65904337345126,30.406492059874356,26.38908060182525,22.815301795396103,11.970377408761584,77215.96355555554,16094210,49.25282233902108,451336,1.1206728468369465,8.7,23843473,72.93767835935977,15.625830866582769,0.27917117180991546,4.695393232536292,0.03389935657691831,2.820736657390503,3.607290355743836,0.5497013311590477,3.057589024584788,49.227847989081305,34.884685960544246,18.65544362974638,30.74571522114865,119
Camden,2012,92.9,477077.731,46.04785615113945,30.89795304207925,26.72417285422442,19.672671925367347,9.96105166297246,61282.346666666665,23647370,49.56712179885839,513539,2.8048502645368707,10.7,22365179,63.577644541115674,19.946294244448815,0.24710878823224725,5.367265193101205,0,7.892487230765337,2.969200002336726,0.9989504205133398,1.9702495818233865,48.367699434707,37.46346615006373,19.457701453282077,28.796913835608606,173
Cape May,2012,101.1,97363.344,44.40365924572188,35.55942240496204,22.601422938213048,20.12040246418097,10.628534542035617,58926.3671111111,4276250,43.92053337855775,96304,1.7704352882538628,15.4,4839395,90.76985379631168,3.384075427811929,0.6344492440604752,1.0466854959295564,0,1.5762585147034391,2.588677521182921,0.26374813091875726,2.3249293902641637,48.68022096693803,29.511033379228223,16.531462806534442,29.747330033862983,14
Cumberland,2012,100.7,158889.49500000002,47.280223088379756,39.09770872240181,22.80944571368984,10.451524832443807,3.4762577379203123,48661.98755555555,7460110,46.951562153306604,157785,3.2081630066229363,13.1,5900991,60.35998352188104,20.28393066514561,0.5862407706689482,1.3518395284722884,0,13.220521595842444,4.197483917989669,1.3283898976455302,2.869094020344139,51.56510441423456,35.64313376271046,22.100151179406467,29.413713836022115,37
Essex,2012,43.7,344244.128,18.051867104033796,28.148837710271923,22.574155354072342,18.84994287604679,13.33084578071326,52731.97066666666,14220250,41.308620375363375,787744,3.1102744038672463,10.7,50609681,41.33639862696511,39.82829447130032,0.3219319982126173,4.876584271032214,0.05484015111508308,10.614615915830525,2.967334565544136,0.7668735020514279,2.200461063492708,48.03870292887029,38.62579295053038,19.819991209483263,29.16046191760093,155
Gloucester,2012,87.1,252229.406,48.71578736541131,34.730671900015494,28.092237773072355,20.471517843309407,8.138201724939318,75393.41333333333,14107410,55.93086953548945,289586,1.4569074471832202,10.1,11086343,82.2449980316728,10.26189111352068,0.16644451043904057,2.8406069354181485,0.04489167293999019,2.213504796502593,2.227662939506744,0.6740657352220066,1.5535972042847377,48.61975371737584,37.013723150358,18.18675417661098,30.02625298329356,83
Hudson,2012,37.7,245917.854,16.257032785427608,25.898605003425654,19.801158812468945,23.48970224166953,13.297668584887282,59482.53955555555,10604495,43.12210287911833,652302,2.5034416573918215,8.9,39249245,55.722196160674045,13.28663717112626,0.4845914928974616,14.278049124485284,0.02958752234394498,13.460176421350848,2.7387621071221613,1.3145751507737211,1.42418695634844,49.69645961533155,32.49605671992952,27.232371296086264,28.954753828542493,91
Hunterdon,2012,50.1,63652.05,19.08823297914207,23.3964965659187,23.074341707868182,27.448041343206786,20.37629477169512,108738.94933333332,2425160,38.10026542742928,127050,0.5454545454545455,6.8,6665842,91.49704840613931,2.498229043683589,0.08028335301062574,2.6414797323888233,1.0177095631641089,0.5470287288469107,1.7182211727666274,0.30460448642266824,1.4136166863439592,49.44510035419126,33.865317770534375,14.759863126715988,35.21917307978414,11
Mercer,2012,60.3,222086.709,24.80132934024431,28.178510098945132,22.029192902117916,19.964428816747077,18.28195273530133,70287.58488888889,9134404,41.12989940339023,368303,2.2522216761742366,8.3,28346897,63.71221521410361,19.882813878790017,0.1851736206330114,9.53807055603674,0,4.6844581770987475,1.9972685533378765,0.35215569789005247,1.6451128554478245,48.92411954287638,34.97659862411187,20.92543513401752,29.460358633134092,65
Middlesex,2012,51.5,423866.115,25.47010416249008,25.83081027177063,21.230978035864077,24.998469962667087,16.40992040205781,80095.03466666666,20962940,49.45651293687395,823041,0.9853701091440159,8.6,53300947,62.30843906925657,9.617139364867606,0.15843682149491944,22.831669382205742,0,3.080769973792314,2.0035453883828387,0.7177042212963874,1.2858411670864514,49.15174335178928,35.18118725884848,20.779535318779338,30.026390953581984,146
Monmouth,2012,66.9,421057.896,29.08210885564298,25.91612119871622,25.28114351279056,25.409705758344447,15.999778817642058,84054.40355555555,18303814,43.471014731902805,629384,1.0235404776734076,8.7,29755547,82.98129599735614,7.68418008719637,0.23864604120854677,5.0638401993059885,0.00921535978035666,2.2048542702070595,1.8179680449455344,0.08150826840212018,1.7364597765434138,48.64756650947593,35.94792836846627,16.47338047093548,31.197273067688712,143
Morris,2012,49.2,245015.50800000003,20.695322681370847,22.697006057276685,21.761380885605657,29.36579301172423,19.611409075795468,98512.81955555554,10306250,42.0636639865261,497999,0.5700814660270402,7.1,48952201,81.66542503097396,3.1538215940192655,0.12208859857148308,9.697007423709683,0,3.5134608704033545,1.8481964823222536,0.3666674029465923,1.4815290793756617,48.92399382328077,35.85340487798136,16.185652142366017,32.28768964456868,49
Ocean,2012,81.9,475404.93000000005,34.33154512722449,37.21758150867341,27.40764177289928,17.39989387118553,8.788512178655154,61315.42755555555,19928432,41.91885851919962,580470,1.0712009233896669,10.6,17444754,92.104329250435,3.219804641066722,0.31440039967612454,1.8018157699794992,0,1.2467483246334867,1.3129016142091754,0.14626078867124914,1.166640825537926,47.94838665219564,37.21321637882241,16.219801808222954,25.58674409063276,174
Passaic,2012,50.5,253956.925,21.760342821917536,33.29684977742993,21.767842293205497,16.863657486670252,9.335102480066526,61044.57777777777,10942950,43.08978776617334,502885,2.3277687741730215,11.1,21872034,68.90024558298617,13.828012368632988,0.32890223410919,4.88978593515416,0,7.588613698957018,4.464440180160474,0.5363055171659524,3.9281346629945215,48.58725155850741,38.160474329825334,20.236279968958897,28.388994023226367,64
Salem,2012,79.9,52553.426,40.6227384680877,36.05732683450342,29.732146849707103,13.453025086079684,6.148548942449581,62398.82666666666,2671920,50.84197555455281,65774,2.271414236628455,11.8,5629822,77.68115060662268,14.308085261653542,0,1.0916167482591903,0,5.543223766229817,1.3759236172347735,0,1.3759236172347735,47.9064676011798,36.11915162359875,17.19383190358402,28.887953265617597,25
Somerset,2012,42,137636.94,18.662219604707865,22.287222500232495,19.408266204923585,28.4157990531905,23.45678465619478,99061.75555555554,6115740,44.43385620168539,327707,0.6173197398895965,7.4,28088357,69.07878074011235,8.951593954355568,0.08086491896724819,15.345720414882807,0.01922449016957221,4.876307189043871,1.647508292468577,0.34237901540095267,1.3051292770676244,48.77741397040649,37.369137353433835,15.743299832495811,32.52250837520938,41
Sussex,2012,67,98786.14,30.046526769848484,31.19259787032609,29.22006305084084,22.73734347091951,10.147671706179178,89550.99999999999,4430120,44.84556234305744,147442,0.9936110470557914,9,4291312,93.04472267060946,2.2795404294570067,0.09766552271401636,1.798673376649801,0.06104095169626022,1.181481531720948,1.5368755171525077,0.4808670528072056,1.0560084643453018,49.69818640550183,34.50122611391293,15.659556748253369,33.8083560819877,27
Union,2012,49.2,267636.19200000004,20.314535935408916,30.25764208846404,23.885454754135992,19.74864319795373,11.99205321178136,68101.14488888888,11050620,41.28970718579047,543976,1.4914260923276028,9.5,34795237,59.40280453549421,22.08185655249496,0.08290806947365324,4.680353545009338,0,11.67900789740724,2.073069400120594,0.6958027560039414,1.3772666441166523,48.58210656352486,37.71851300834022,18.75854982380271,30.267479464662827,61
Warren,2012,78.7,84722.91100000001,31.652364541629122,36.48585378904421,24.59902347669052,19.53715470537088,9.309076315965486,73487.1271111111,3407472,40.21901466534831,107653,1.1304840552515956,8.7,4405544,89.0435008778204,3.910713124576184,0.18206645425580337,2.5405701652531745,0,2.9622955235803925,1.3608538545140405,0.12726073588288295,1.2335931186311575,48.598738539566945,35.497104247104254,16.43983268983269,30.896074646074645,23
Atlantic,2013,86.7,239172.354,40.07351501837876,34.76495476005243,26.56847804077457,15.802009953854188,7.7003825946095725,53101.05197080291,11054760,46.220893908164655,275862,2.1351255337813835,11.7,13847062,68.69340467335117,15.161203790300949,0.14282503570625893,8.097527024381757,0,4.515663628915907,3.3893758473439615,0.6641001660250415,2.7252756813189203,48.64134966033741,35.82422835720441,18.45778373244265,28.910107624277423,75
Bergen,2013,45.5,421024.24,19.468891031072225,24.36598133257014,20.13611282931888,29.229176091164515,17.920394151733646,83196.09635036495,18015110,42.78877149686203,925328,0.7368198087597047,6.7,65467065,69.63433506821364,5.973233275119742,0.2123571317413933,15.77224508498608,0.01696695658188232,6.575614268670137,1.8152482146871165,0.35544152992236266,1.4598066847647535,48.406294848961664,34.83672473102816,17.1494851407963,31.257308503029364,125
Burlington,2013,74,333620.12,35.80923081018015,29.88104129735829,27.704459268424813,22.510153642970025,12.749192997752894,78844.26919708028,16144162,48.3908524461894,450838,1.1574002191474542,7.7,24269671,73.59428442145516,16.202272213078757,0.05434324524552056,4.691042015091895,0.0179665423056619,2.288183338582817,3.151908224240193,0.3930458390818875,2.7588623851583054,49.212133848522086,34.683701731228496,18.66545096632917,30.625729610950458,118
Camden,2013,92.9,476441.36600000004,43.76972393702691,32.48097763430943,26.9388402121282,18.203827530551074,10.521962185842748,59089.90773722627,22447478,47.11488044889872,512854,2.86689779157421,9.4,23007982,63.051082764295494,20.228759062033248,0.09710365913105874,5.5432930229656,0,7.839658070328008,3.2401034212465927,0.8261610516833251,2.4139423695632676,48.391160057248264,37.208455547688885,19.406965375408788,28.90563366036209,158
Cape May,2013,98.6,94554.442,45.99455665974952,32.7484884443691,23.759676781375376,23.083008419506132,10.633158162400406,61691.632116788314,4410740,46.6476233871699,95897,1.765435832194959,14.3,4925266,90.43452871309844,4.469378604127345,0.06882384224741128,1.1282938986621065,0.2732097980124509,1.9155969425529475,1.710168201299311,0.06986662773600842,1.6403015735633024,48.24447062994671,29.38571803820031,17.312094262448873,27.14923636909452,16
Cumberland,2013,105.4,165827.928,45.765324282409175,41.47657242543186,23.519540360657604,9.33879439482716,4.373589699831238,46837.1509489051,7200350,43.420611273632986,157332,3.273332824854448,11.7,6055416,60.92657564894618,21.352299595759288,0.6127170569242112,1.070983652403834,0,12.597564386138863,3.4398596598276256,0.9298807617013704,2.509978898126255,51.08623801896627,35.41879949021165,22.017006873785597,29.201053005453062,39
Essex,2013,42,331617.3,16.95532350091506,29.42894857667585,22.675045913682276,19.63632537496174,12.868648607284973,54611.76350364963,13387330,40.36981785932157,789565,3.1508488851456184,9.7,51313450,41.19749482309879,40.58715875197102,0.2625496317592599,4.955260174906436,0.0054460367417502,10.172056765434132,2.8200338160886056,0.8069000018997803,2.0131338141888255,48.063680634273304,38.46353785567163,19.785903532089353,29.277615539358408,127
Gloucester,2013,85.5,248176.57499999998,47.990215837252165,35.56698930208864,26.785532348446257,20.09373408048905,9.050942435048396,72688.34890510948,13929880,56.128907411990845,290265,1.484505538042823,9,11313956,82.11289683565019,10.313678879644463,0.05271045424009095,2.9703891271768903,0,2.326494754793034,2.2238299484953403,0.4888636246188827,1.734966323876458,48.63211203555372,36.833663048708765,18.16286157300968,30.32430923143643,74
Hudson,2013,37,244304.34,15.69559672988208,25.81434012908998,19.945069007865413,22.55246296889753,14.117307994244504,57126.899562043785,10363520,42.420531702384004,660282,2.4769719604653773,7.9,41229832,56.183872951254166,12.614004319366574,0.36847892264214377,14.6270835794403,0.00893557601146177,12.777722245949455,3.419902405335902,1.2462856779376084,2.1736167273982936,49.75283288049652,32.37151548111275,26.949808356340114,29.414504549747985,87
Hunterdon,2013,47.5,59968.75,18.15960396039604,22.98031886403264,25.819097653534513,28.866425828214563,17.911315228663575,112521.01401459852,2292650,38.23074517978114,126250,0.5710891089108912,5.9,6674512,91.15960396039604,3.781386138613861,0.01267326732673267,2.9687128712871287,0,0.8792079207920791,1.1984158415841584,0.1908910891089109,1.0075247524752475,50.49980198019802,32.9130714217342,16.60900600309043,33.115453513653954,15
Mercer,2013,59.8,221507.572,24.30696463956546,25.01471430068774,20.97856146546372,21.847713034854753,18.55654725910876,72181.04321167881,9003640,40.64709805947401,370414,2.368970935223831,7.3,28660506,60.53604885344507,19.85589097604302,0.0737013179847414,10.145944807701651,0.01646806006252463,7.376611035220051,1.995334949542944,0.4419379397107021,1.5533970098322418,48.9698013574001,34.60012801883839,21.138059439987664,29.247632352322796,68
Middlesex,2013,47.7,395394.363,22.70905842428512,25.540537899395723,22.15046044998481,24.148971516597697,16.42233115797441,78283.99182481751,18823970,47.60808893980109,828919,1.0066122262850772,7.5,54309937,60.6412689297748,9.877201511848565,0.13921746274364566,22.90814904713247,0.01194326586795573,4.165183811687269,2.2570359709452914,0.6189989612977866,1.6380370096475048,49.22266228666492,35.013408270436734,20.749246691452278,30.10229246194082,139
Monmouth,2013,63.5,399841.72000000003,27.309967729230458,25.396796203998303,24.5229709598514,26.847194379563387,15.875756349658838,85313.94481751823,17196322,43.00782319563851,629672,1.0441944377390133,7.5,30571189,82.19041024533408,7.602211945266742,0.0965582080829384,5.409641845278176,0.0247748033897013,2.8721302519406926,1.8042727007076704,0.21662071681764475,1.5876519838900254,48.681376970867376,35.546072170458494,16.49704937543736,31.532837062709724,159
Morris,2013,47.2,235715.38400000002,19.295310144033703,22.212757110144064,19.300261910881,30.587552447148585,21.15876073127135,102047.9018978102,9636020,40.87989437295276,499397,0.5662829372222902,6.2,50392973,81.69432335396488,2.9916078791021974,0.04024853973892514,9.45460225031388,0,3.4781947028115905,2.341023274068527,0.2553079013290028,2.0857153727395237,48.98107117183323,35.38872419964483,16.597220782630927,31.99416792774864,52
Ocean,2013,77.8,453896.092,31.980319292989197,36.679713224239265,26.511350505088156,17.371305028516048,8.509586113492626,61352.409635036485,18657766,41.10580885988329,583414,1.0781366233926508,9.3,18420364,91.81147521314196,3.036265842094979,0.10558539904767456,1.9637855793655965,0,1.834546308453345,1.2483416578964508,0.18237478017325603,1.0659668777231948,47.86703781534211,37.5826879758459,16.32660338894403,25.40014145364421,124
Passaic,2013,49.3,249296.296,21.29127181255834,36.09850252407416,21.406754701201734,16.809485428244177,8.43307415869245,59998.575766423346,10766400,43.18716391999663,505672,2.327002483823506,10,21970562,65.71572086253539,13.420359442484456,0.4995332943093546,5.421696277428848,0.02491733772089417,10.778923887421096,4.138848898099954,0.5837776266038064,3.5550712714961477,48.71833916056258,38.236991975585795,20.098169947437892,28.296778418815684,56
Salem,2013,80.2,52263.132000000005,43.096553417426264,42.45335099922712,23.230650325714915,16.038423318979795,5.262228110853483,63100.47503649634,2808430,53.73635089454646,65166,2.3877482122579257,10.4,5884371,81.58395482306724,14.374060092686369,0.05677807445600467,0.5892643403001565,0,1.2813430316422676,2.1145996378479572,0.12429794678206428,1.9903016910658933,48.35036675567013,36.12915247018739,17.397785349233388,28.58017461669506,20
Somerset,2013,40,132234,19.481797419725638,21.59903906852774,19.48867223118468,29.788437258890372,22.90629164620888,99035.64700729924,6440390,48.704493549314094,330585,0.6455223316242419,6.3,30360046,68.7668829499221,8.722113828516115,0.16969916965379556,15.929942374880891,0,4.24792413448886,2.1634375425382277,0.23201294674592013,1.9314245957923075,48.99012356882496,36.86308339092974,15.848278084092481,32.35445432388752,46
Sussex,2013,66.4,96938.68800000001,29.450654830401668,28.788580322927032,30.544089686628773,23.12799850259583,11.765459220364695,90058.98481751823,4299560,44.35339582891817,145992,1.0329333114143242,7.9,4438280,93.48046468299631,1.8179078305660583,0.02808373061537618,2.0350430160556745,0.04041317332456573,1.1897912214367912,1.4082963450052055,0.0965806345553181,1.3117157104498878,49.889035015617296,34.05771495877503,16.161366313309777,32.34393404004711,30
Union,2013,46,252197.76,19.842865376758304,29.262420779784765,24.11334428053795,19.43083583264348,12.953166772972166,65799.99328467152,10878970,43.13666386251805,548256,1.526659078970408,8.4,36095031,57.08701774353586,21.246096713943853,0.28909852331757424,4.846458588688495,0.09667016868032452,14.386162668534409,2.0484955932994806,0.5829393567968248,1.4655562365026555,48.856191268312614,37.68897211611443,18.825355547536986,30.444263335365626,55
Warren,2013,77.6,83326.10399999999,31.11176300766444,34.453385725051135,26.007912584777692,19.753202712886207,11.255248142964795,68463.85751824816,3340750,40.092478102660365,107379,1.1501317762318517,7.6,4479216,90.2401773158625,4.155374887082204,0.01210665027612475,2.7603162629564437,0,1.6064593635627078,1.2255655202600135,0,1.2255655202600135,48.16956760632898,35.07794738551478,16.700227346541087,32.84995128288405,15
Atlantic,2014,84.7,233102.023,41.34675828188758,33.759446514103246,27.61362426822778,17.012772751463544,7.761575306013838,55408.28509905253,11379000,48.815535161614626,275209,2.1623566089771775,10.6,13782024,67.70309110530542,15.7840041568408,0.14679752479025032,8.344203859612149,0,3.990785185077523,4.031118168373854,1.4087475336925754,2.6223706346812787,48.44754350330113,35.33497222520649,18.784481505589717,28.142596232233927,78
Bergen,2014,44.4,414505.968,18.84486681262934,25.334675083097004,20.011892781996156,28.871253011313392,17.289208062696307,84822.8690783807,17593040,42.44339372213816,933572,0.7434884508104357,5.4,67192926,69.99963580741496,5.962475309885043,0.17524090268345666,16.012476809501567,0.01713847459006911,5.759812847857476,2.0732198480674224,0.5989896869229154,1.4742301611445072,48.43675688645332,34.49684861725809,17.44447072160846,30.713875468765835,111
Burlington,2014,73.9,332344.558,35.33218299304904,28.28428451518239,27.684870153585916,24.812422710467803,12.16705431571933,81035.35572782083,15889660,47.81080242631805,449722,1.1707232468058044,6.4,24523075,72.16146864062688,15.624541383343487,0.09694878169180073,4.378260347503569,0.02245831869466025,3.0819039317622887,4.6344185963773175,0.5770231387390432,4.0573954576382745,49.15859130751887,34.11839739353609,19.199234658593184,30.64285604512133,110
Camden,2014,90.8,464022.50399999996,42.417694965932085,31.84151483166935,25.177789697714253,20.265141683825608,10.988066605528928,62437.372954349696,21677054,46.715523090233575,511038,2.940681514877563,7.7,23073533,61.786599039601754,19.78815665371264,0.28275783796899645,5.793698315976503,0.02856930404392628,10.241508459253518,2.078710389442664,0.5796046477952715,1.499105741647392,48.31069313827934,37.01458821614032,19.421898265762632,28.417003870066175,182
Cape May,2014,96.8,92292.992,45.02097667393858,35.94587694664284,25.474427708280142,16.930474002212577,9.349558902788417,56997.01722652885,4292480,46.50927342349027,95344,1.7735777815069642,12.2,5068517,89.84099681154557,5.21794764222185,0,1.0194663534150026,0.08285786205739218,2.6996979358952844,1.1390333948649105,0.26955026011075683,0.8694831347541534,49.29203725457291,28.78325994505288,17.5755522938542,26.636182304015655,11
Cumberland,2014,98,154241.22,46.0759646481012,37.307590233545646,25.357332423415222,8.448020928116469,4.049135577797998,45417.103359173125,7251850,47.01629045724612,157389,3.3706294594920867,9.9,6163426,61.94016100235722,19.46451149699153,0.660783155112492,1.226896415886752,0,12.481812579023948,4.225835350628062,0.7846799966960842,3.4411553539319772,51.55633494081543,35.87920560505863,21.403955416188023,29.334451033355066,31
Essex,2014,43,342160.89,16.36374718337914,29.302877012497795,23.545443009925897,20.408777814182606,12.271856942916177,54848.32213608957,13021010,38.055226007858465,795723,3.1719580808899575,8,51743497,41.08904731923044,40.04521673999621,0.28150499608532115,5.032027476898368,0.02827617148178449,11.437397184698696,2.0865301116091906,0.6922006778740843,1.3943294337351064,48.07150226900567,38.21696936839252,19.74215234480889,29.06825698021144,147
Gloucester,2014,85.8,249635.95799999998,50.770473378678886,34.719759229046545,27.804687737502913,20.13619367064236,9.756999685862814,79841.30232558139,14771720,59.17304589589614,290951,1.4590085615790975,7.3,12258979,82.42968747314839,10.645778842485504,0.01340431894030266,2.9513560702661272,0.04124405827785434,1.7246890369856092,2.1938401998962025,0.199346281676296,1.9944939182199064,48.41777481431581,35.98166584995637,18.49191456811961,30.106730091192677,83
Hudson,2014,38.6,258278.39,15.57117236947311,26.478468149635397,18.729840033378444,24.13647039886818,14.101545871005865,58579.73901808785,10418905,40.33982479138111,669115,2.3965984920379904,6.4,42436654,57.51970886917795,13.201467610201531,0.10431689619871023,14.853799421624087,0.04558259790917854,11.9329263280602,2.342198276828348,0.6332244830858672,1.708973793742481,49.717612069674125,32.48583436671211,26.64499780487241,28.840895612055483,93
Hunterdon,2014,46.3,58369.02099999999,17.20132945179944,21.741187603501302,22.81027859452274,30.467403426949204,19.60863834533104,103783.47545219638,2168520,37.15189946392968,126067,0.6099930989077237,4.9,6937665,91.05079045269578,2.6263812099915125,0.15705934146128644,3.982009566341707,0,1.4079814701706237,0.7757779593390816,0.1324692425456305,0.6433087167934511,50.28595905351916,31.95457344188274,17.64931244441404,32.93425463501403,15
Mercer,2014,59.6,221436.052,23.87643760917486,23.09381863821776,22.18387197991842,20.062674486897897,20.89417746775764,75090.13178294573,8870980,40.061136928145736,371537,2.246882544672536,5.9,28921547,64.14273679337454,20.483558838016133,0.12273340205686108,10.111509755421398,0,3.258894807246654,1.8805664038844043,0.40345914404218153,1.477107259842223,48.9617453981703,34.565185989403986,20.981878672376276,29.978239496013682,66
Middlesex,2014,45.8,383024.02599999995,20.951826922731996,26.519491896627244,21.549014454664913,24.61971090670171,16.424704336399472,77815.81912144703,17521950,45.74634699286462,836297,0.9986882650541614,6.1,55880739,60.11345251746688,9.934150188270436,0.17099188446209898,23.827420162932547,0.05309118650431604,4.016396088949261,1.8844979714144616,0.5530331927532922,1.3314647786611695,49.251402312814704,34.716768682952285,20.716600196841092,29.825329215697153,129
Monmouth,2014,61.8,388894.422,26.05705895159381,24.813099767321255,24.60933376778937,25.882641798647988,17.76986374296112,88565.30490956071,16397160,42.16352581164046,629279,1.0702724864487771,6.1,31465495,82.13765277404777,6.748516953529357,0.05323552827918936,5.346595071502466,0.09677742305082485,3.0309290473700856,2.586293202220319,0.4354189477163548,2.150874254503964,48.663470416142914,35.047671205596075,16.880336561200863,30.892656117320676,146
Morris,2014,45.9,229374.69299999997,19.156519459624956,20.53541113982034,20.580585016084203,30.75449005311527,22.24511287714432,100752.26270456502,9573030,41.73533651334414,499727,0.5783157604051813,5,50824837,81.71341552487658,3.320613054727881,0.08964894832578588,10.152143070116283,0.02961617042905426,3.154122150694279,1.5404410808301332,0.28335471167257326,1.25708636915756,48.88549147834718,34.888101693624066,16.706314991221966,31.099868762314358,46
Ocean,2014,72.6,425654.526,30.495905686669474,33.68907492343392,29.402364024085536,19.334975978784147,9.240622819907674,63762.65202411713,17879780,42.00537973370451,586301,1.1059165855081263,7.4,18982375,91.83439905441062,3.0257495723186554,0.02814254111795818,1.9930035937172204,0.02780141940743747,1.4792742976730382,1.6116295213550718,0.30223383552134486,1.309395685833727,48.226934629141006,37.61420780508535,16.185046155299005,25.288913284699102,166
