buyer_county,year,prescription_rate,total_prescriptions,opioids_supplied_per_capita,high_school_graduate_includes_equivalency,some_college_or_associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,dosage_unit,potential_pills_per_prescription,population,blind_and_disability_perc,unemployment_rate_bls,gdp_2020_dollars,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races",male_perc,up_to_18,from_18_to_34,from_35_to_59_years,opioid_visit_count
Passaic,2006,43.6,216732.548,13.381904392135878,36.40560640016026,20.052771274398108,15.506804552226662,7.990810411528301,58825.34098582039,6652051,30.692441266366693,497093,2.117310040575908,5.7,19592488,58.98654778884435,12.0834531968867,0.13800234563753663,4.618652847656274,0,22.55131333573396,1.6220304852411924,0.8618105666344125,0.7602199186067798,48.70416602124754,40.51510063145945,18.963379406110526,29.26877063054723,NA
Salem,2006,74.6,49679.87,29.521210301073655,39.34094012952112,30.322921714612978,13.388254989206573,4.332789990748491,68512.55773126266,1965965,39.5726679639057,66595,1.771904797657482,5.1,5317055,80.01952098505893,15.172310233501014,0.21923567835423077,0.47300848412042945,0,3.3365868308431565,0.7793377881222313,0.06306779788272393,0.7162699902395075,48.56370598393273,36.23210911820276,18.4382845459016,29.580453968993453,NA
Somerset,2006,37.3,120921.378,11.088600371391731,22.973218916926776,21.19691330500223,27.35119345533301,21.054044462239855,108001.15867656987,3594769,29.72815112973655,324186,0.4781205850962102,3.5,26837937,75.07480273670055,8.493889310457577,0.16410332340076375,12.540640249733178,0,2.4637091052667297,1.2628552744412158,0.4824390936067566,0.7804161808344592,49.085401590444995,39.00631176812557,15.748276721202558,33.22294659911967,NA
Sussex,2006,51.8,79452.912,18.797012726229593,34.13312239995312,27.61078885178024,20.23300326165505,10.39335169234976,92452.61039837947,2883161,36.28766935565559,153384,0.8234235643874198,4.2,4014803,93.964820320242,1.6670578417566368,0,1.8789443488238669,0,1.4727742137380693,1.01640327543942,0.11278881760809473,0.9036144578313252,49.715094142804986,37.14506513579157,16.457275336718922,34.757120777213515,NA
Union,2006,43.2,229430.01600000003,15.242694242762028,31.68444333261317,19.891577499061892,18.990425616592567,11.464243885243851,73337.31937879811,8095212,35.28401445083802,531088,1.2911231283704396,4.9,30032966,59.390910734190946,21.158452083270568,0.17473563703190434,4.633130479317928,0.10600879703551956,13.123060585063117,1.413701684090019,0.5835191154761546,0.8301825686138643,48.600420269333895,39.132663686900244,17.612662405280275,31.133753063872735,NA
Warren,2006,60.7,67327.833,19.754785023305296,33.93874218345481,26.859707120192244,20.48831003305851,6.64223788850387,73133.53916272789,2191181,32.54495061500049,110919,0.9286055590115309,4.2,3951518,89.5022493891939,3.491737213642387,0,2.56493477222117,0,3.4926387724375445,0.9484398525049812,0.493152660950784,0.4552871915541972,48.51197720859366,37.890939493404346,16.78485167523379,32.25057286183192,NA
Atlantic,2007,89.4,241955.736,37.6722558046733,36.75675378024471,25.457318751996123,15.8137024922633,6.183301946013811,63877.56500328299,10195770,42.13898859583143,270644,1.7462053472458285,5.9,14358013,65.73580053502018,16.786257962489472,0.10160949439115592,6.5613869141750785,0.01773547538463812,8.94606937526788,1.851140243271604,0.254947458654173,1.5961927846174309,48.56084007035072,37.702713844475596,18.07221274409696,30.668535513372614,NA
Bergen,2007,48,429957.12,16.660117176336097,26.36692922440062,20.116010911158384,27.627174406050965,17.084938385174112,92187.03151674326,14923200,34.7085774507002,895744,0.6563259145470134,3.4,59183103,73.01863032294942,5.6674674907116325,0.091990568733924,14.276958595312946,0,5.4725457273506715,1.4724072949414118,0.4305917762217776,1.0418155187196343,48.5825191126036,34.96947435184068,16.64085572983342,32.98326439608245,NA
Burlington,2007,63.1,281941.527,26.808621874279627,30.453398602958785,26.5900448509943,21.630843835202946,12.143562553520985,84265.19172685489,11978548,42.48593007017374,446817,0.9406535561538617,3.8,21926919,75.00184639348996,16.071232741816,0.3016895059946242,4.126297790818165,0,2.2731901427206216,2.2257434251606365,0.3072846377823583,1.918458787378278,49.52833039029401,35.85274344373131,19.212295503456684,31.610642390538402,NA
Camden,2007,89.8,461364.56200000003,38.544273788414635,35.147062303305646,23.31671044225172,16.444535150611674,9.276578878871772,67910.64740643465,19802853,42.922353884648814,513769,2.3557279633453945,4.8,21503942,66.40630322187599,18.477759459990775,0.06247944114962172,4.434093921587328,0,8.179551510503748,2.439812444892549,0.551220490142457,1.888591954750092,48.5640433735784,38.96875197440834,18.756131057484794,29.693771344393348,NA
